Order ID,Product Name,Invoice date,City shipped,State,Sales quantity,Price per unit,Revenue,External commissions,Months
FY-2020-001,Lazocar Suspension (30 ml),09-11-2020,Adoni,Uttarakhand,450.0,204.0,91800.0,13578.0,Nov
IN-2020-002,Bonofer-Z Syrup (200 ml),30-06-2020,Udupi,Karnataka,374.0,472.0,176528.0,4882.0,Jun
IN-2020-003,Bonofer-Z Syrup (200 ml),05-12-2020,Mahbubnagar,Telangana,138.0,472.0,65136.0,5464.0,Dec
IN-2020-004,Bonofer-Z Syrup (200 ml),09-05-2020,Hindupur,Uttarakhand,227.0,472.0,107144.0,14475.0,May
IN-2020-005,Bonofer-Z Syrup (200 ml),09-07-2020,Giridih,Jharkhand,394.0,472.0,185968.0,14391.0,Jul
IN-2020-006,Bonofer-Z Syrup (200 ml),25-02-2020,Giridih,Jharkhand,261.0,472.0,123192.0,1105.0,Feb
IN-2020-007,Bonofer-Z Syrup (200 ml),09-04-2020,Udupi,Karnataka,129.0,472.0,60888.0,12043.0,Apr
IN-2020-008,Bonofer-Z Syrup (200 ml),30-03-2020,Udupi,Karnataka,310.0,472.0,146320.0,15008.0,Mar
IN-2020-009,Bonofer-Z Syrup (200 ml),09-02-2020,Udupi,Karnataka,111.0,472.0,52392.0,6501.0,Feb
IN-2020-010,Bonofer-Z Syrup (200 ml),21-04-2020,Bhimavaram,Uttarakhand,109.0,472.0,51448.0,2378.0,Apr
CA-2020-011,Fisomol Syrup (100 ml),16-11-2020,Lucknow,Uttar Pradesh,46.0,500.0,23000.0,1137.0,Nov
CA-2020-012,Fisomol Syrup (100 ml),01-09-2020,Lucknow,Uttar Pradesh,376.0,500.0,188000.0,15969.0,Sep
CA-2020-013,Fisomol Syrup (100 ml),09-07-2020,Lucknow,Uttar Pradesh,135.0,500.0,67500.0,12230.0,Jul
CA-2020-014,Fisomol Syrup (100 ml),22-07-2020,Lucknow,Uttar Pradesh,379.0,500.0,189500.0,13121.0,Jul
CA-2020-015,Fisomol Syrup (100 ml),12-10-2020,Lucknow,Uttar Pradesh,104.0,500.0,52000.0,2765.0,Oct
CA-2020-016,Fisomol Syrup (100 ml),23-02-2020,Lucknow,Uttar Pradesh,468.0,500.0,234000.0,10039.0,Feb
CA-2020-017,Fisomol Syrup (100 ml),04-05-2020,Udupi,Karnataka,365.0,500.0,182500.0,11930.0,May
CA-2020-018,Fisomol Syrup (100 ml),12-06-2020,Udupi,Karnataka,119.0,500.0,59500.0,10017.0,Jun
CA-2020-019,Fisomol Syrup (100 ml),13-05-2020,Udupi,Karnataka,127.0,500.0,63500.0,379.0,May
CA-2020-020,Fisomol Syrup (100 ml),27-07-2020,Lucknow,Uttar Pradesh,254.0,500.0,127000.0,7359.0,Jul
CA-2020-021,Fisomol Syrup (100 ml),09-12-2020,Lucknow,Uttar Pradesh,171.0,500.0,85500.0,4542.0,Dec
CA-2020-022,Fisomol Syrup (100 ml),09-02-2020,Madanapalle,Uttarakhand,250.0,500.0,125000.0,8669.0,Feb
CA-2020-023,Fisomol Syrup (100 ml),20-07-2020,Lucknow,Uttar Pradesh,240.0,500.0,120000.0,5797.0,Jul
CA-2020-024,Fisomol Syrup (100 ml),22-11-2020,Lucknow,Uttar Pradesh,365.0,500.0,182500.0,6646.0,Nov
CA-2020-025,Fisomol Syrup (100 ml),22-02-2020,Guntakal,Uttarakhand,88.0,500.0,44000.0,5622.0,Feb
CA-2020-026,Fisomol Syrup (100 ml),06-04-2020,Lucknow,Uttar Pradesh,416.0,500.0,208000.0,10213.0,Apr
CA-2020-027,Fisomol Syrup (100 ml),27-07-2020,Lucknow,Uttar Pradesh,227.0,500.0,113500.0,5948.0,Jul
CA-2020-028,Fisomol Syrup (100 ml),29-09-2020,Guntakal,Uttarakhand,18.0,500.0,9000.0,406.0,Sep
CA-2020-029,Fisomol Syrup (100 ml),11-04-2020,Lucknow,Uttar Pradesh,491.0,500.0,245500.0,1366.0,Apr
CA-2020-030,Fisomol Syrup (100 ml),23-01-2020,Lucknow,Uttar Pradesh,465.0,500.0,232500.0,9326.0,Jan
CA-2020-031,Fisomol Syrup (100 ml),31-03-2020,Lucknow,Uttar Pradesh,167.0,500.0,83500.0,9921.0,Mar
CA-2020-032,Fisomol Syrup (100 ml),24-11-2020,Lucknow,Uttar Pradesh,485.0,500.0,242500.0,11695.0,Nov
CA-2020-033,Fisomol Syrup (100 ml),24-08-2020,Srikakulam,Uttarakhand,22.0,500.0,11000.0,1210.0,Aug
CA-2020-034,Fisomol Syrup (100 ml),04-05-2020,Srikakulam,Uttarakhand,306.0,500.0,153000.0,3710.0,May
TA-2020-035,Bisopyrin-SP Tablet (10X10 Alu-Alu),15-07-2020,Lucknow,Uttar Pradesh,232.0,453.0,105096.0,165.0,Jul
CA-2020-036,Fisomol Syrup (100 ml),03-10-2020,Bhimavaram,Uttarakhand,77.0,500.0,38500.0,4626.0,Oct
CA-2020-037,Fisomol Syrup (100 ml),28-06-2020,Lucknow,Uttar Pradesh,191.0,500.0,95500.0,7606.0,Jun
CA-2020-038,Fisomol Syrup (100 ml),01-08-2020,Dharmavaram,Uttarakhand,295.0,500.0,147500.0,1760.0,Aug
CA-2020-039,Fisomol Syrup (100 ml),07-06-2020,Lucknow,Uttar Pradesh,180.0,500.0,90000.0,5319.0,Jun
CA-2020-040,Fisomol Syrup (100 ml),16-08-2020,Lucknow,Uttar Pradesh,352.0,500.0,176000.0,5359.0,Aug
CA-2020-041,Fisomol Syrup (100 ml),09-07-2020,Medininagar,Jharkhand,259.0,500.0,129500.0,3662.0,Jul
CA-2020-042,Fisomol Syrup (100 ml),25-02-2020,Lucknow,Uttar Pradesh,211.0,500.0,105500.0,10827.0,Feb
CA-2020-043,Fisomol Syrup (100 ml),26-10-2020,Gudivada,Uttarakhand,175.0,500.0,87500.0,765.0,Oct
CA-2020-044,Fisomol Syrup (100 ml),22-12-2020,Gudivada,Uttarakhand,76.0,500.0,38000.0,4918.0,Dec
CA-2020-045,Fisomol Syrup (100 ml),24-04-2020,Lucknow,Uttar Pradesh,261.0,500.0,130500.0,4829.0,Apr
CA-2020-046,Fisomol Syrup (100 ml),20-09-2020,Phagwara,Punjab,165.0,500.0,82500.0,13460.0,Sep
CA-2020-047,Fisomol Syrup (100 ml),12-03-2020,Udupi,Karnataka,189.0,500.0,94500.0,422.0,Mar
